,total_cases
6977,13.0
54104,6570.0
47434,19410.0
32086,17310.0
42735,47051.0
18278,18.0
1311,25.0
25062,271606.0
35129,99.0
30647,75.0
15706,165035.0
51957,1.0
7723,141.0
41250,602.0
26383,243967.0
30091,91.0
8523,3.0
54228,1043.0
8019,7645.0
2153,1399431.0
40487,514.0
25,29.0
7842,150.0
27826,188837.0
4952,72663.0
29557,1315.0
24121,4113811.0
29900,16870.0
34344,505.0
19683,1556.0
43745,843890.0
36574,15.0
17078,143.0
24047,456183.0
3250,1480.0
37421,84570.0
25999,18851.0
22792,7511.0
1149,1261.0
47985,168092.0
58386,44533131.0
59068,14.0
43268,1029.0
43287,6879.0
36749,6959.0
35040,7.0
56301,5395917.0
37962,1516.0
36633,207.0
43098,117742.0
41921,1015137.0
55855,239579.0
12478,51224.0
1305,19.0
19854,30.0
9539,15756.0
1981,22794.0
28728,133381.0
40716,674.0
1029,755.0
6899,61212.0
54395,61115.0
34023,7900.0
46181,2544.0
14077,95360.0
1730,92.0
46852,91.0
40311,336260.0
36816,87977.0
18820,21936.0
50238,3092.0
15061,5676.0
12337,669.0
33150,931.0
42541,712972.0
57723,109781.0
12073,728.0
32077,17223.0
2078,546481.0
57946,789.0
29868,4205.0
10863,298557.0
43010,55262.0
28266,2432.0
45208,208.0
35760,720.0
56646,1946.0
39354,48613.0
41497,27324.0
45231,435.0
50564,13555.0
6219,244.0
4751,556.0
16233,97025.0
14058,46262.0
24374,59394.0
26494,824879.0
4463,6.0
3163,311002.0
22321,2447.0
9802,539190.0
29927,35242.0
38487,342.0
24390,84882.0
53050,3220.0
34357,523.0
50155,1869.0
14057,44155.0
44595,19.0
55239,86504.0
34825,17150.0
12063,611.0
19625,34.0
29054,74373.0
39530,8772.0
54802,55.0
57510,824.0
31245,1070.0
43166,132917.0
17936,43.0
46466,6318.0
56013,876840.0
59159,985.0
43995,431.0
32423,8575.0
19607,25.0
1142,1176.0
23743,1955.0
7448,4091801.0
22594,4724.0
28116,83316.0
53468,30.0
30774,32364.0
40444,362.0
1918,1451.0
10138,3.0
24814,721.0
40986,217202.0
18392,31.0
20216,29056.0
53994,275.0
26530,1805873.0
19591,23.0
41021,1.0
58559,1516.0
36909,16.0
44833,1.0
34508,212802.0
13260,269.0
31436,8663.0
12973,2009.0
25213,1131077.0
31223,179.0
2168,1489328.0
45682,911.0
59209,6497.0
22336,2452.0
11747,34.0
24891,721.0
54148,7244.0
39327,24836.0
26126,302765.0
6864,27975.0
13559,95.0
44973,57.0
36073,12290.0
34430,3844.0
3682,2020.0
6603,144390.0
29045,71171.0
38511,736.0
9375,21203.0
20498,1741153.0
26601,143.0
57739,114407.0
27092,66499.0
51324,437379.0
32647,9354.0
1202,4665.0
37283,375.0
28726,131743.0
5805,261.0
8732,606.0
47854,3022.0
3198,385750.0
39413,1.0
42028,8928.0
21299,24.0
49307,25955.0
37498,253184.0
18798,16291.0
22550,2894.0
55883,275970.0
54533,144749.0
58481,1.0
28998,48617.0
23661,1802.0
26772,7012.0
32798,13.0
41007,285093.0
59165,1478.0
17188,405.0
382,820.0
48808,45973.0
14137,546833.0
42085,35455.0
24100,2589952.0
18503,46.0
27119,80490.0
33973,7425.0
5623,2131.0
42841,128392.0
30749,15156.0
2884,41.0
45274,671.0
36459,7589.0
5532,30.0
8312,941.0
51340,42.0
35870,16259.0
16210,92947.0
12804,19600.0
58637,2034.0
48423,3.0
5191,56511.0
18770,10538.0
4680,227.0
3310,12238.0
48080,1468.0
23603,473.0
32622,9063.0
2653,7259.0
47070,104.0
24072,1077781.0
35696,322.0
28124,88579.0
2733,25204.0
53412,27.0
57420,27.0
56847,4741.0
53809,3111.0
837,48254.0
12889,21918.0
2752,26692.0
3162,308070.0
20989,6632.0
41477,13233.0
3138,198291.0
47114,1085.0
41601,103888.0
22109,1089.0
17222,493.0
46119,26.0
28838,769.0
59083,32.0
7403,2159654.0
44487,30.0
54485,5698.0
10008,5281.0
30656,168.0
33940,6885.0
3386,37031.0
30174,1558.0
56548,849.0
11166,84018.0
2435,66694.0
28456,51502.0
18239,15.0
13044,3094.0
17589,25392.0
33013,11505.0
49845,270166.0
26441,287753.0
56345,7189326.0
16359,128993.0
47886,6677.0
28959,43898.0
21708,125674.0
12880,21618.0
28589,41879.0
18355,27.0
34915,53042.0
44456,19.0
29611,2370.0
43222,143222.0
47869,4163.0
21735,138475.0
25540,581811.0
32739,68020.0
1513,12816.0
9310,18042.0
33917,6273.0
6451,30676.0
4516,85.0
9779,387052.0
13817,12181.0
29313,24.0
47817,1902.0
5092,1.0
48624,3864.0
34583,652364.0
35748,367.0
53823,3436.0
36250,423214.0
361,475.0
42564,1076180.0
43136,126339.0
49944,1185678.0
16294,105705.0
16844,4926.0
52320,379.0
7302,20727.0
42538,641496.0
54160,7.0
43683,405843.0
34861,26990.0
20490,1570371.0
21150,9.0
13063,4634.0
48559,3227.0
13984,12566.0
2346,36162.0
4468,18.0
4208,13134.0
24876,721.0
17620,9.0
5346,305409.0
4636,180.0
28784,152027.0
33072,13537.0
35684,308.0
36616,180.0
46997,183.0
44746,97.0
22627,6016.0
58043,1253.0
53784,2605.0
34979,112307.0
4472,33.0
37444,159830.0
21541,14540.0
44437,19.0
45171,2.0
7714,141.0
50358,42702.0
49508,2429.0
48202,4470.0
22897,9188.0
45067,83.0
49456,1670.0
32000,14592.0
13827,15789.0
21954,10863.0
49243,17399.0
15112,7.0
57379,27.0
33875,2223.0
16898,5070.0
25306,1928.0
39555,9028.0
15427,112.0
24614,712.0
23028,3477.0
7102,1066.0
39409,86597.0
51248,106380.0
57046,76751.0
23163,79629.0
22563,3565.0
22023,13457.0
8980,202.0
43627,5389.0
39585,10060.0
3954,29367.0
5911,2280.0
28509,556.0
36437,4207.0
58424,66655612.0
10695,1745.0
31149,1183.0
50501,10992.0
39444,4284.0
53326,24.0
48753,2173.0
10097,11567.0
23352,3867.0
53884,114.0
49899,603167.0
27976,10105.0
18428,32.0
36213,296189.0
51284,230514.0
12833,20470.0
11395,95632.0
52680,509.0
9855,68.0
23242,117588.0
34759,3481.0
10752,228.0
10030,7254.0
56378,9258873.0
17735,1826.0
45605,741.0
24546,671778.0
50631,16864.0
23670,1805.0
43799,1123976.0
22919,9399.0
35623,941.0
46587,29890.0
20097,69681.0
38503,681.0
38337,4668.0
17281,1556.0
57993,1069.0
26233,3.0
17990,968.0
17785,4904.0
46325,15213.0
39026,64728.0
22114,1178.0
21892,7664.0
1677,26.0
30426,1224.0
92,11834.0
42439,48789.0
14655,15867.0
3915,9692.0
11726,1831980.0
8069,16617.0
12042,274.0
51125,57895.0
23475,26461.0
53325,24.0
29477,1057.0
33232,2573.0
32133,17767.0
59275,8444.0
56875,11564.0
3891,3383.0
2252,1339.0
13204,168388.0
28095,62488.0
29349,39.0
2391,44783.0
36209,276821.0
20451,785093.0
3781,7565.0
7559,7423945.0
37358,20086.0
30239,2137.0
1292,8.0
47103,861.0
5735,6.0
89,10001.0
37250,16.0
8028,9853.0
43164,132556.0
13711,1406.0
32462,25.0
26070,102040.0
55695,162662.0
12660,1464.0
41748,322710.0
25419,188802.0
16190,78304.0
51279,208295.0
45040,68.0
38436,5887.0
26254,10149.0
53,907.0
47544,56353.0
30071,4.0
47816,1901.0
5484,18.0
5910,2280.0
45612,860.0
31237,843.0
29382,41.0
56369,8507236.0
22069,36.0
28403,25388.0
17381,1870.0
28492,148.0
35451,220.0
22558,3329.0
49025,1214176.0
53908,116.0
20366,231292.0
31757,12851.0
58057,1331.0
38938,49068.0
310,51405.0
1886,1.0
20973,4336.0
43951,154.0
13250,48.0
31947,2941.0
25967,16427.0
1247,7382.0
14370,10519.0
56729,10418.0
25134,449960.0
34252,356.0
59196,5378.0
47826,2058.0
54439,113241.0
39038,66607.0
875,55081.0
51650,470789.0
7623,138.0
11277,89914.0
21028,15928.0
13633,958.0
12245,5774.0
49219,14269.0
47212,2133.0
54512,101790.0
20957,3826.0
44834,1.0
18270,18.0
42539,665547.0
52800,509.0
3038,21696.0
54275,1186.0
47875,4888.0
25263,124.0
28061,39449.0
16862,4996.0
41594,98296.0
14508,1420.0
23077,27053.0
17804,5431.0
29634,5894.0
34643,972785.0
14208,234.0
30680,698.0
27432,4779.0
3904,6747.0
33747,4.0
6005,3167.0
45909,201801.0
58758,39.0
41663,13489.0
36924,16.0
44095,4602.0
49986,1730575.0
4140,94633.0
3533,14.0
37883,1039.0
33127,408.0
50764,100.0
24477,340622.0
20962,3983.0
10573,946.0
187,38133.0
26087,138194.0
19879,211.0
8948,129.0
37168,29183.0
42413,37216.0
38656,1194.0
4638,180.0
48181,2883.0
29867,4023.0
39379,73025.0
57957,989.0
27758,142945.0
40904,113342.0
24757,721.0
47703,178.0
7355,584016.0
16899,5070.0
1712,82.0
11898,502.0
55886,278640.0
11181,84106.0
17242,577.0
26373,241956.0
19286,802.0
5897,2194.0
53941,123.0
51585,176177.0
44457,19.0
18545,1.0
580,30623.0
40620,51528.0
2236,770.0
35940,48247.0
16207,91583.0
16572,28630.0
56504,657.0
2547,15.0
34987,124264.0
45477,2107.0
32952,7047.0
30884,1.0
34107,273.0
40577,31362.0
1479,5725.0
15403,106.0
16474,4626.0
39002,61558.0
33492,663.0
2516,161794.0
17759,3599.0
58982,17056.0
